Episode = 140, Score = 239.5547999798823, Avg_Score = 47.76217937798879
Episode = 141, Score = 40.952063260208774, Avg_Score = 47.86536367041631
Episode = 142, Score = 13.960362395824006, Avg_Score = 50.68007308030596
Episode = 143, Score = -13.416628636950307, Avg_Score = 53.50824631789119
Episode = 144, Score = 40.44815169775066, Avg_Score = 57.06660062355162
Episode = 145, Score = 261.8135473760351, Avg_Score = 60.756803592171735
Episode = 146, Score = 160.35235030427793, Avg_Score = 62.15090839045486
Episode = 147, Score = -101.25693856119958, Avg_Score = 61.38750326436473
Episode = 148, Score = 231.4168940768236, Avg_Score = 63.26748526463724
Episode = 149, Score = -73.4578072840564, Avg_Score = 63.945197260576414
Episode = 150, Score = -71.53831831454929, Avg_Score = 63.3408727897904
Episode = 151, Score = 201.175571220755, Avg_Score = 67.97034132710085
Episode = 152, Score = -287.1243501943479, Avg_Score = 63.936897311041086
Episode = 153, Score = -17.071954286467175, Avg_Score = 63.614309865335414
Episode = 154, Score = 37.3178463162067, Avg_Score = 62.05829595098067
Episode = 155, Score = 18.230889564226274, Avg_Score = 62.75762053655736
Episode = 156, Score = 231.58467473465996, Avg_Score = 68.46120119879842
Episode = 157, Score = -251.58432569670194, Avg_Score = 67.82826501342637
Episode = 158, Score = -90.15485334219386, Avg_Score = 66.76092409778924
Episode = 159, Score = 180.9948979217746, Avg_Score = 67.72918749851594
Episode = 160, Score = 113.38981669320532, Avg_Score = 70.68864489279653
Episode = 161, Score = 208.70337162774996, Avg_Score = 74.9063719123902
Episode = 162, Score = 284.54246104689184, Avg_Score = 78.78187137275107
Episode = 163, Score = 3.231892904053254, Avg_Score = 76.85501048895631
Episode = 164, Score = 168.77248621925042, Avg_Score = 80.36401224415313
Episode = 165, Score = 266.0550704146235, Avg_Score = 83.92324653398873
Episode = 166, Score = -8.82443587630189, Avg_Score = 81.96230236549272
Episode = 167, Score = 236.68136625421232, Avg_Score = 88.73718907659376
Episode = 168, Score = 251.36573508296036, Avg_Score = 90.16742779918545
Episode = 169, Score = 183.89308518408615, Avg_Score = 92.71348468323272
Episode = 170, Score = -69.20152324238671, Avg_Score = 92.51000410234222
Episode = 171, Score = -6.845276485890736, Avg_Score = 90.11560539014921
Episode = 172, Score = 238.6329491239201, Avg_Score = 95.39320194949224
Episode = 173, Score = -37.31700872574643, Avg_Score = 92.86073158693357
Episode = 174, Score = 242.13191858557252, Avg_Score = 93.62166275996611
Episode = 175, Score = 263.6757576388886, Avg_Score = 98.67493993649076
Episode = 176, Score = 216.62282439900173, Avg_Score = 101.13009139168084
Episode = 177, Score = 220.61413975542044, Avg_Score = 100.90248595137277
Episode = 178, Score = 222.2996648731321, Avg_Score = 103.50149435872437
Episode = 179, Score = -117.43481645886911, Avg_Score = 102.38514074650999
Episode = 180, Score = 236.91327568478843, Avg_Score = 104.37454898118759
Episode = 181, Score = -159.3214287661936, Avg_Score = 102.6713200190727
Episode = 182, Score = 0.614247395886693, Avg_Score = 100.99454370051804
Episode = 183, Score = 284.3339552860671, Avg_Score = 102.41234364499816
Episode = 184, Score = 195.04342459574704, Avg_Score = 105.18802646368066
Episode = 185, Score = -76.9642871669716, Avg_Score = 104.41534096920532
Episode = 186, Score = -44.80499241395043, Avg_Score = 101.87179161903053
Episode = 187, Score = 19.69691609725298, Avg_Score = 100.13884200019537
Episode = 188, Score = -41.64993839051454, Avg_Score = 99.73316247091905
Episode = 189, Score = 1.6095742720091835, Avg_Score = 98.39111321419848
Episode = 190, Score = -145.32676090396086, Avg_Score = 97.21536130201913
Episode = 191, Score = 24.688712314663988, Avg_Score = 97.18664414073328
Episode = 192, Score = 12.487609374820991, Avg_Score = 94.9312136345126
Episode = 193, Score = 178.164297888102, Avg_Score = 94.67182592539046
Episode = 194, Score = 31.27470315590503, Avg_Score = 92.74853245873926
Episode = 195, Score = -133.31046081551844, Avg_Score = 89.4306828969163
Episode = 196, Score = 240.79498122994042, Avg_Score = 89.46348071077703
Episode = 197, Score = -77.57553996157623, Avg_Score = 88.65024835558495
Episode = 198, Score = 239.14689740191795, Avg_Score = 88.89807334884665
