Episode = 162, Score = 270.2637707885349, Avg_Score = -60.44911903056374
Episode = 163, Score = 273.0905466796321, Avg_Score = -55.84751680285523
Episode = 164, Score = 239.9219879727887, Avg_Score = -51.63464989377989
Episode = 165, Score = 222.5652318157901, Avg_Score = -48.96756533563049
Episode = 166, Score = 106.64381004554713, Avg_Score = -45.43011836208588
Episode = 167, Score = 255.44624020625434, Avg_Score = -42.66087710368704
Episode = 168, Score = 232.2865344613317, Avg_Score = -39.78532621218405
Episode = 169, Score = -50.921677790339174, Avg_Score = -40.5234664044575
Episode = 170, Score = 167.99954330741116, Avg_Score = -34.43363049878957
Episode = 171, Score = 177.38122244910204, Avg_Score = -31.96936889465711
Episode = 172, Score = 197.91938787488345, Avg_Score = -24.047104434331274
Episode = 173, Score = 173.82948685143586, Avg_Score = -22.79725111520315
Episode = 174, Score = 198.88896615585077, Avg_Score = -17.081746471189337
Episode = 175, Score = 234.17237894079443, Avg_Score = -13.178201194922234
Episode = 176, Score = 223.5899687402896, Avg_Score = -9.98019958146947
Episode = 177, Score = 232.85713259922284, Avg_Score = -5.96366492562633
Episode = 178, Score = 265.48497327143815, Avg_Score = -0.7637212670986111
Episode = 179, Score = 261.1760387439803, Avg_Score = 3.1045183658655686
Episode = 180, Score = 262.58392515556636, Avg_Score = 8.177783685201804
Episode = 181, Score = 197.82120309355463, Avg_Score = 10.631879107166233
Episode = 182, Score = 206.01946878724664, Avg_Score = 14.847097850412014
Episode = 183, Score = 203.36097070370172, Avg_Score = 19.945452085243595
Episode = 184, Score = 251.96839554150355, Avg_Score = 24.848581888439398
Episode = 185, Score = 267.5623269032044, Avg_Score = 28.030085129692058
Episode = 186, Score = 166.85296268137728, Avg_Score = 31.244590125579812
Episode = 187, Score = 263.42725547473117, Avg_Score = 35.295674606289325
Episode = 188, Score = -147.66151943807637, Avg_Score = 36.57887457877869
Episode = 189, Score = 224.80536128293147, Avg_Score = 40.14393894190282
Episode = 190, Score = 225.78832960499003, Avg_Score = 42.4658154271822
Episode = 191, Score = 195.6806542304688, Avg_Score = 46.221405618979944
Episode = 192, Score = 221.48362263150972, Avg_Score = 50.100438260808275
Episode = 193, Score = 214.05510438538215, Avg_Score = 54.129721431508905
Episode = 194, Score = 245.51043604411947, Avg_Score = 58.64773954912344
Episode = 195, Score = 269.6460836804289, Avg_Score = 63.03216527052692
Episode = 196, Score = 247.05186820308012, Avg_Score = 72.78773781098765
Episode = 197, Score = 229.5859212214529, Avg_Score = 79.32568172710735
Episode = 198, Score = 233.30022366137626, Avg_Score = 82.42669512141387
Episode = 199, Score = 217.8986764235404, Avg_Score = 85.73062172246343
Episode = 200, Score = 168.132279061374, Avg_Score = 91.2130518911173
Episode = 201, Score = 235.7221442490084, Avg_Score = 94.11902832444011
Episode = 202, Score = -149.80241276992922, Avg_Score = 95.2292241540362
Episode = 203, Score = 248.4933914481143, Avg_Score = 100.00213115077882
Episode = 204, Score = 187.96726239544745, Avg_Score = 104.66341296179496
Episode = 205, Score = 128.9216090775704, Avg_Score = 110.53920031666308
